map_code,tract,income
C1,100200,127563
C2,100100,50129
C3,100700,54955
C4,101000,88164
C5,100800,50197
C6,101102,55056
C7,101101,48375
C8,101200,62453
C9,102500,41265
C10,114000,55938
C11,102100,36042
C12,101900,38902
C13,101700,45702
C14,101500,38651
C15,102300,24396
C16,102000,42608
C17,101800,45000
C18,101600,42228
C19,102900,30414
C20,103000,72500
C21,103500,80921
C22,103100,57419
C23,103400,71597
C24,103200,49418
C25,103300,54224
E1,110103,116481
E2,114800,203194
E3,101400,26927
E4,103600,123875
E5,104100,107411
E6,104200,120230
E7,103700,94063
E8,104000,112098
E9,103800,96281
E10,103900,88162
E11,104300,81473
E12,111400,47294
E13,104900,62721
E14,114100,75391
E15,104700,80543
E16,104400,136750
E17,104800,87308
E18,110300,77628
E19,110200,101089
E20,111802,45203
W1,113906,48043
W2,980000,-1
W3,114700,63275
W4,100307,59808
W5,100308,36649
W6,100500,46073
W7,100306,39938
W8,100600,44071
W9,102702,37775
W10,102600,44643
W11,102701,41522
W12,102801,49768
W13,102802,63857
W14,114500,69596
